episodes,rewards,steps
87,-1.8430000000000009,27
88,-9.99999999999998,100
89,0.01000000000000012,10
90,-0.5350000000000001,15
91,-2.9330000000000016,37
92,-1.7340000000000009,26
93,-0.7530000000000003,17
94,-0.6440000000000002,16
95,-6.638999999999991,71
96,-0.31699999999999995,13
97,-8.164999999999987,85
98,-1.1890000000000005,21
99,-1.2980000000000005,22
100,0.22799999999999998,8
101,-7.619999999999988,80
102,-0.31699999999999995,13
103,-0.20799999999999985,12
104,-0.09899999999999987,11
105,0.22799999999999998,8
106,-0.09899999999999987,11
107,-0.42600000000000005,14
108,0.33699999999999997,7
109,-1.952000000000001,28
110,-4.458999999999998,51
111,0.44599999999999995,6
112,-9.99999999999998,100
113,-0.42600000000000005,14
114,-1.1890000000000005,21
115,0.44599999999999995,6
116,0.5549999999999999,5
117,0.22799999999999998,8
118,-0.5350000000000001,15
119,0.44599999999999995,6
120,0.33699999999999997,7
121,0.44599999999999995,6
122,0.01000000000000012,10
123,-7.946999999999987,83
124,-0.42600000000000005,14
125,-9.99999999999998,100
126,-1.1890000000000005,21
127,-9.99999999999998,100
128,-9.99999999999998,100
129,-9.99999999999998,100
130,-3.3690000000000015,41
131,-5.112999999999996,57
132,-9.99999999999998,100
133,-9.99999999999998,100
134,-6.093999999999993,66
135,-9.99999999999998,100
136,-0.09899999999999987,11
137,-9.99999999999998,100
138,-9.99999999999998,100
139,-9.99999999999998,100
140,-9.99999999999998,100
141,-9.99999999999998,100
142,-9.99999999999998,100
143,-0.5350000000000001,15
144,-2.1700000000000013,30
145,-1.6250000000000009,25
146,-4.458999999999998,51
147,-1.1890000000000005,21
148,0.22799999999999998,8
149,-5.330999999999995,59
150,0.44599999999999995,6
151,0.5549999999999999,5
152,-1.8430000000000009,27
153,0.44599999999999995,6
154,0.1190000000000001,9
155,-9.99999999999998,100
156,-7.510999999999989,79
157,-9.99999999999998,100
158,-9.99999999999998,100
159,-9.99999999999998,100
160,-9.99999999999998,100
161,-9.99999999999998,100
162,-9.99999999999998,100
163,-9.99999999999998,100
164,-9.99999999999998,100
165,-9.99999999999998,100
166,-9.99999999999998,100
167,-9.99999999999998,100
168,-9.99999999999998,100
169,-9.99999999999998,100
170,-9.99999999999998,100
171,-9.99999999999998,100
172,-9.99999999999998,100
173,-9.99999999999998,100
174,-8.491999999999985,88
175,0.5549999999999999,5
176,0.44599999999999995,6
177,0.5549999999999999,5
178,0.33699999999999997,7
179,0.5549999999999999,5
180,0.5549999999999999,5
181,0.5549999999999999,5
182,0.5549999999999999,5
183,0.5549999999999999,5
184,0.5549999999999999,5
185,0.5549999999999999,5
186,0.5549999999999999,5
187,0.5549999999999999,5
188,0.5549999999999999,5
189,0.5549999999999999,5
190,0.5549999999999999,5
191,0.44599999999999995,6
192,0.5549999999999999,5
193,0.5549999999999999,5
194,-3.4780000000000015,42
195,0.5549999999999999,5
196,0.5549999999999999,5
197,0.5549999999999999,5
198,0.33699999999999997,7
199,0.5549999999999999,5
200,-9.99999999999998,100
201,-3.6960000000000006,44
202,0.5549999999999999,5
203,0.5549999999999999,5
204,0.5549999999999999,5
205,0.5549999999999999,5
206,0.5549999999999999,5
207,0.5549999999999999,5
208,0.5549999999999999,5
209,0.5549999999999999,5
210,-9.99999999999998,100
211,-1.952000000000001,28
212,0.5549999999999999,5
213,0.5549999999999999,5
214,0.5549999999999999,5
215,0.5549999999999999,5
216,0.5549999999999999,5
217,-4.023,47
218,0.22799999999999998,8
219,0.5549999999999999,5
220,-9.036999999999983,93
221,-9.99999999999998,100
222,-9.99999999999998,100
223,-9.99999999999998,100
224,-9.99999999999998,100
225,-2.7150000000000016,35
226,0.5549999999999999,5
227,-0.7530000000000003,17
228,-2.9330000000000016,37
229,0.33699999999999997,7
230,-0.7530000000000003,17
231,-9.99999999999998,100
232,-9.99999999999998,100
233,-7.1839999999999895,76
